Categories Final,Date Occurred,Crime_Count
AGGRAVATED ASSAULT,2015-07-08,122
AGGRAVATED ASSAULT,2015-07-09,110
AGGRAVATED ASSAULT,2015-07-10,130
AGGRAVATED ASSAULT,2015-07-11,157
AGGRAVATED ASSAULT,2015-07-12,128
AGGRAVATED ASSAULT,2015-07-13,111
AGGRAVATED ASSAULT,2015-07-14,115
AGGRAVATED ASSAULT,2015-07-15,132
AGGRAVATED ASSAULT,2015-07-16,97
AGGRAVATED ASSAULT,2015-07-17,140
AGGRAVATED ASSAULT,2015-07-18,125
AGGRAVATED ASSAULT,2015-07-19,166
AGGRAVATED ASSAULT,2015-07-20,132
AGGRAVATED ASSAULT,2015-07-21,117
AGGRAVATED ASSAULT,2015-07-22,126
AGGRAVATED ASSAULT,2015-07-23,125
AGGRAVATED ASSAULT,2015-07-24,121
AGGRAVATED ASSAULT,2015-07-25,149
AGGRAVATED ASSAULT,2015-07-26,181
AGGRAVATED ASSAULT,2015-07-27,142
AGGRAVATED ASSAULT,2015-07-28,113
AGGRAVATED ASSAULT,2015-07-29,117
AGGRAVATED ASSAULT,2015-07-30,125
AGGRAVATED ASSAULT,2015-07-31,124
AGGRAVATED ASSAULT,2015-08-01,162
AGGRAVATED ASSAULT,2015-08-02,158
AGGRAVATED ASSAULT,2015-08-03,110
AGGRAVATED ASSAULT,2015-08-04,119
AGGRAVATED ASSAULT,2015-08-05,134
AGGRAVATED ASSAULT,2015-08-06,133
AGGRAVATED ASSAULT,2015-08-07,103
AGGRAVATED ASSAULT,2015-08-08,141
AGGRAVATED ASSAULT,2015-08-09,133
AGGRAVATED ASSAULT,2015-08-10,120
AGGRAVATED ASSAULT,2015-08-11,124
AGGRAVATED ASSAULT,2015-08-12,121
AGGRAVATED ASSAULT,2015-08-13,110
AGGRAVATED ASSAULT,2015-08-14,89
AGGRAVATED ASSAULT,2015-08-15,152
AGGRAVATED ASSAULT,2015-08-16,131
AGGRAVATED ASSAULT,2015-08-17,120
AGGRAVATED ASSAULT,2015-08-18,138
AGGRAVATED ASSAULT,2015-08-19,132
AGGRAVATED ASSAULT,2015-08-20,138
AGGRAVATED ASSAULT,2015-08-21,134
AGGRAVATED ASSAULT,2015-08-22,153
AGGRAVATED ASSAULT,2015-08-23,156
AGGRAVATED ASSAULT,2015-08-24,132
AGGRAVATED ASSAULT,2015-08-25,131
AGGRAVATED ASSAULT,2015-08-26,103
AGGRAVATED ASSAULT,2015-08-27,133
AGGRAVATED ASSAULT,2015-08-28,153
AGGRAVATED ASSAULT,2015-08-29,167
AGGRAVATED ASSAULT,2015-08-30,160
AGGRAVATED ASSAULT,2015-08-31,101
AGGRAVATED ASSAULT,2015-09-01,126
AGGRAVATED ASSAULT,2015-09-02,102
AGGRAVATED ASSAULT,2015-09-03,117
AGGRAVATED ASSAULT,2015-09-04,116
AGGRAVATED ASSAULT,2015-09-05,119
AGGRAVATED ASSAULT,2015-09-06,159
AGGRAVATED ASSAULT,2015-09-07,168
AGGRAVATED ASSAULT,2015-09-08,107
AGGRAVATED ASSAULT,2015-09-09,139
AGGRAVATED ASSAULT,2015-09-10,135
AGGRAVATED ASSAULT,2015-09-11,164
AGGRAVATED ASSAULT,2015-09-12,153
AGGRAVATED ASSAULT,2015-09-13,164
AGGRAVATED ASSAULT,2015-09-14,119
AGGRAVATED ASSAULT,2015-09-15,117
AGGRAVATED ASSAULT,2015-09-16,102
AGGRAVATED ASSAULT,2015-09-17,130
AGGRAVATED ASSAULT,2015-09-18,135
AGGRAVATED ASSAULT,2015-09-19,147
AGGRAVATED ASSAULT,2015-09-20,203
AGGRAVATED ASSAULT,2015-09-21,141
AGGRAVATED ASSAULT,2015-09-22,134
AGGRAVATED ASSAULT,2015-09-23,126
AGGRAVATED ASSAULT,2015-09-24,134
AGGRAVATED ASSAULT,2015-09-25,134
AGGRAVATED ASSAULT,2015-09-26,174
AGGRAVATED ASSAULT,2015-09-27,158
AGGRAVATED ASSAULT,2015-09-28,136
AGGRAVATED ASSAULT,2015-09-29,110
AGGRAVATED ASSAULT,2015-09-30,133
AGGRAVATED ASSAULT,2015-10-01,128
AGGRAVATED ASSAULT,2015-10-02,128
AGGRAVATED ASSAULT,2015-10-03,159
AGGRAVATED ASSAULT,2015-10-04,153
AGGRAVATED ASSAULT,2015-10-05,98
AGGRAVATED ASSAULT,2015-10-06,121
AGGRAVATED ASSAULT,2015-10-07,124
AGGRAVATED ASSAULT,2015-10-08,137
AGGRAVATED ASSAULT,2015-10-09,132
AGGRAVATED ASSAULT,2015-10-10,165
AGGRAVATED ASSAULT,2015-10-11,159
AGGRAVATED ASSAULT,2015-10-12,136
AGGRAVATED ASSAULT,2015-10-13,146
AGGRAVATED ASSAULT,2015-10-14,108
AGGRAVATED ASSAULT,2015-10-15,139
AGGRAVATED ASSAULT,2015-10-16,143
AGGRAVATED ASSAULT,2015-10-17,174
AGGRAVATED ASSAULT,2015-10-18,147
AGGRAVATED ASSAULT,2015-10-19,128
AGGRAVATED ASSAULT,2015-10-20,125
AGGRAVATED ASSAULT,2015-10-21,88
AGGRAVATED ASSAULT,2015-10-22,123
AGGRAVATED ASSAULT,2015-10-23,123
AGGRAVATED ASSAULT,2015-10-24,148
AGGRAVATED ASSAULT,2015-10-25,159
AGGRAVATED ASSAULT,2015-10-26,101
AGGRAVATED ASSAULT,2015-10-27,120
AGGRAVATED ASSAULT,2015-10-28,115
AGGRAVATED ASSAULT,2015-10-29,105
AGGRAVATED ASSAULT,2015-10-30,115
AGGRAVATED ASSAULT,2015-10-31,175
AGGRAVATED ASSAULT,2015-11-01,179
AGGRAVATED ASSAULT,2015-11-02,94
AGGRAVATED ASSAULT,2015-11-03,85
AGGRAVATED ASSAULT,2015-11-04,108
AGGRAVATED ASSAULT,2015-11-05,92
AGGRAVATED ASSAULT,2015-11-06,102
AGGRAVATED ASSAULT,2015-11-07,115
AGGRAVATED ASSAULT,2015-11-08,137
AGGRAVATED ASSAULT,2015-11-09,90
AGGRAVATED ASSAULT,2015-11-10,87
AGGRAVATED ASSAULT,2015-11-11,86
AGGRAVATED ASSAULT,2015-11-12,100
AGGRAVATED ASSAULT,2015-11-13,95
AGGRAVATED ASSAULT,2015-11-14,118
AGGRAVATED ASSAULT,2015-11-15,159
AGGRAVATED ASSAULT,2015-11-16,129
AGGRAVATED ASSAULT,2015-11-17,93
AGGRAVATED ASSAULT,2015-11-18,126
AGGRAVATED ASSAULT,2015-11-19,121
AGGRAVATED ASSAULT,2015-11-20,114
AGGRAVATED ASSAULT,2015-11-21,121
AGGRAVATED ASSAULT,2015-11-22,150
AGGRAVATED ASSAULT,2015-11-23,110
AGGRAVATED ASSAULT,2015-11-24,124
AGGRAVATED ASSAULT,2015-11-25,112
AGGRAVATED ASSAULT,2015-11-26,112
AGGRAVATED ASSAULT,2015-11-27,105
AGGRAVATED ASSAULT,2015-11-28,120
AGGRAVATED ASSAULT,2015-11-29,118
AGGRAVATED ASSAULT,2015-11-30,102
AGGRAVATED ASSAULT,2015-12-01,118
AGGRAVATED ASSAULT,2015-12-02,112
AGGRAVATED ASSAULT,2015-12-03,96
AGGRAVATED ASSAULT,2015-12-04,114
AGGRAVATED ASSAULT,2015-12-05,128
AGGRAVATED ASSAULT,2015-12-06,133
AGGRAVATED ASSAULT,2015-12-07,108
AGGRAVATED ASSAULT,2015-12-08,118
AGGRAVATED ASSAULT,2015-12-09,126
AGGRAVATED ASSAULT,2015-12-10,112
AGGRAVATED ASSAULT,2015-12-11,96
AGGRAVATED ASSAULT,2015-12-12,133
AGGRAVATED ASSAULT,2015-12-13,135
AGGRAVATED ASSAULT,2015-12-14,101
AGGRAVATED ASSAULT,2015-12-15,100
AGGRAVATED ASSAULT,2015-12-16,91
AGGRAVATED ASSAULT,2015-12-17,99
AGGRAVATED ASSAULT,2015-12-18,108
AGGRAVATED ASSAULT,2015-12-19,133
AGGRAVATED ASSAULT,2015-12-20,132
AGGRAVATED ASSAULT,2015-12-21,104
AGGRAVATED ASSAULT,2015-12-22,97
AGGRAVATED ASSAULT,2015-12-23,100
AGGRAVATED ASSAULT,2015-12-24,136
AGGRAVATED ASSAULT,2015-12-25,139
AGGRAVATED ASSAULT,2015-12-26,107
AGGRAVATED ASSAULT,2015-12-27,128
AGGRAVATED ASSAULT,2015-12-28,108
AGGRAVATED ASSAULT,2015-12-29,86
AGGRAVATED ASSAULT,2015-12-30,105
AGGRAVATED ASSAULT,2015-12-31,113
AGGRAVATED ASSAULT,2016-01-01,212
AGGRAVATED ASSAULT,2016-01-02,106
AGGRAVATED ASSAULT,2016-01-03,123
AGGRAVATED ASSAULT,2016-01-04,98
AGGRAVATED ASSAULT,2016-01-05,107
AGGRAVATED ASSAULT,2016-01-06,80
AGGRAVATED ASSAULT,2016-01-07,101
AGGRAVATED ASSAULT,2016-01-08,83
AGGRAVATED ASSAULT,2016-01-09,100
AGGRAVATED ASSAULT,2016-01-10,104
AGGRAVATED ASSAULT,2016-01-11,132
AGGRAVATED ASSAULT,2016-01-12,97
AGGRAVATED ASSAULT,2016-01-13,99
AGGRAVATED ASSAULT,2016-01-14,89
AGGRAVATED ASSAULT,2016-01-15,118
AGGRAVATED ASSAULT,2016-01-16,133
AGGRAVATED ASSAULT,2016-01-17,144
AGGRAVATED ASSAULT,2016-01-18,117
AGGRAVATED ASSAULT,2016-01-19,83
AGGRAVATED ASSAULT,2016-01-20,116
AGGRAVATED ASSAULT,2016-01-21,127
AGGRAVATED ASSAULT,2016-01-22,118
AGGRAVATED ASSAULT,2016-01-23,126
AGGRAVATED ASSAULT,2016-01-24,123
AGGRAVATED ASSAULT,2016-01-25,104
AGGRAVATED ASSAULT,2016-01-26,99
AGGRAVATED ASSAULT,2016-01-27,107
AGGRAVATED ASSAULT,2016-01-28,97
AGGRAVATED ASSAULT,2016-01-29,132
AGGRAVATED ASSAULT,2016-01-30,124
AGGRAVATED ASSAULT,2016-01-31,114
AGGRAVATED ASSAULT,2016-02-01,119
AGGRAVATED ASSAULT,2016-02-02,94
AGGRAVATED ASSAULT,2016-02-03,100
AGGRAVATED ASSAULT,2016-02-04,89
AGGRAVATED ASSAULT,2016-02-05,137
AGGRAVATED ASSAULT,2016-02-06,126
AGGRAVATED ASSAULT,2016-02-07,170
AGGRAVATED ASSAULT,2016-02-08,124
AGGRAVATED ASSAULT,2016-02-09,126
AGGRAVATED ASSAULT,2016-02-10,134
AGGRAVATED ASSAULT,2016-02-11,99
AGGRAVATED ASSAULT,2016-02-12,122
AGGRAVATED ASSAULT,2016-02-13,138
AGGRAVATED ASSAULT,2016-02-14,161
AGGRAVATED ASSAULT,2016-02-15,133
AGGRAVATED ASSAULT,2016-02-16,115
AGGRAVATED ASSAULT,2016-02-17,112
AGGRAVATED ASSAULT,2016-02-18,118
AGGRAVATED ASSAULT,2016-02-19,136
AGGRAVATED ASSAULT,2016-02-20,138
AGGRAVATED ASSAULT,2016-02-21,170
AGGRAVATED ASSAULT,2016-02-22,119
AGGRAVATED ASSAULT,2016-02-23,111
AGGRAVATED ASSAULT,2016-02-24,119
AGGRAVATED ASSAULT,2016-02-25,103
AGGRAVATED ASSAULT,2016-02-26,144
AGGRAVATED ASSAULT,2016-02-27,180
AGGRAVATED ASSAULT,2016-02-28,179
AGGRAVATED ASSAULT,2016-02-29,102
AGGRAVATED ASSAULT,2016-03-01,125
AGGRAVATED ASSAULT,2016-03-02,108
AGGRAVATED ASSAULT,2016-03-03,87
AGGRAVATED ASSAULT,2016-03-04,106
AGGRAVATED ASSAULT,2016-03-05,122
AGGRAVATED ASSAULT,2016-03-06,138
AGGRAVATED ASSAULT,2016-03-07,93
AGGRAVATED ASSAULT,2016-03-08,108
AGGRAVATED ASSAULT,2016-03-09,108
AGGRAVATED ASSAULT,2016-03-10,97
AGGRAVATED ASSAULT,2016-03-11,95
AGGRAVATED ASSAULT,2016-03-12,142
AGGRAVATED ASSAULT,2016-03-13,177
AGGRAVATED ASSAULT,2016-03-14,129
AGGRAVATED ASSAULT,2016-03-15,119
AGGRAVATED ASSAULT,2016-03-16,131
AGGRAVATED ASSAULT,2016-03-17,139
AGGRAVATED ASSAULT,2016-03-18,115
AGGRAVATED ASSAULT,2016-03-19,130
AGGRAVATED ASSAULT,2016-03-20,129
AGGRAVATED ASSAULT,2016-03-21,115
AGGRAVATED ASSAULT,2016-03-22,110
AGGRAVATED ASSAULT,2016-03-23,107
AGGRAVATED ASSAULT,2016-03-24,131
AGGRAVATED ASSAULT,2016-03-25,114
AGGRAVATED ASSAULT,2016-03-26,137
AGGRAVATED ASSAULT,2016-03-27,146
AGGRAVATED ASSAULT,2016-03-28,114
AGGRAVATED ASSAULT,2016-03-29,103
AGGRAVATED ASSAULT,2016-03-30,133
AGGRAVATED ASSAULT,2016-03-31,109
AGGRAVATED ASSAULT,2016-04-01,143
AGGRAVATED ASSAULT,2016-04-02,152
AGGRAVATED ASSAULT,2016-04-03,158
AGGRAVATED ASSAULT,2016-04-04,106
AGGRAVATED ASSAULT,2016-04-05,137
AGGRAVATED ASSAULT,2016-04-06,130
AGGRAVATED ASSAULT,2016-04-07,117
AGGRAVATED ASSAULT,2016-04-08,124
AGGRAVATED ASSAULT,2016-04-09,123
AGGRAVATED ASSAULT,2016-04-10,170
AGGRAVATED ASSAULT,2016-04-11,137
AGGRAVATED ASSAULT,2016-04-12,132
AGGRAVATED ASSAULT,2016-04-13,111
AGGRAVATED ASSAULT,2016-04-14,111
AGGRAVATED ASSAULT,2016-04-15,160
AGGRAVATED ASSAULT,2016-04-16,170
AGGRAVATED ASSAULT,2016-04-17,174
AGGRAVATED ASSAULT,2016-04-18,130
AGGRAVATED ASSAULT,2016-04-19,129
AGGRAVATED ASSAULT,2016-04-20,136
AGGRAVATED ASSAULT,2016-04-21,108
AGGRAVATED ASSAULT,2016-04-22,128
AGGRAVATED ASSAULT,2016-04-23,146
AGGRAVATED ASSAULT,2016-04-24,145
AGGRAVATED ASSAULT,2016-04-25,122
AGGRAVATED ASSAULT,2016-04-26,120
AGGRAVATED ASSAULT,2016-04-27,123
AGGRAVATED ASSAULT,2016-04-28,93
AGGRAVATED ASSAULT,2016-04-29,112
AGGRAVATED ASSAULT,2016-04-30,147
AGGRAVATED ASSAULT,2016-05-01,168
AGGRAVATED ASSAULT,2016-05-02,133
AGGRAVATED ASSAULT,2016-05-03,122
AGGRAVATED ASSAULT,2016-05-04,113
AGGRAVATED ASSAULT,2016-05-05,146
AGGRAVATED ASSAULT,2016-05-06,110
AGGRAVATED ASSAULT,2016-05-07,124
AGGRAVATED ASSAULT,2016-05-08,146
AGGRAVATED ASSAULT,2016-05-09,106
AGGRAVATED ASSAULT,2016-05-10,95
AGGRAVATED ASSAULT,2016-05-11,113
AGGRAVATED ASSAULT,2016-05-12,109
AGGRAVATED ASSAULT,2016-05-13,128
AGGRAVATED ASSAULT,2016-05-14,135
AGGRAVATED ASSAULT,2016-05-15,164
AGGRAVATED ASSAULT,2016-05-16,108
AGGRAVATED ASSAULT,2016-05-17,115
AGGRAVATED ASSAULT,2016-05-18,126
AGGRAVATED ASSAULT,2016-05-19,125
AGGRAVATED ASSAULT,2016-05-20,147
AGGRAVATED ASSAULT,2016-05-21,141
AGGRAVATED ASSAULT,2016-05-22,146
AGGRAVATED ASSAULT,2016-05-23,122
AGGRAVATED ASSAULT,2016-05-24,116
AGGRAVATED ASSAULT,2016-05-25,106
AGGRAVATED ASSAULT,2016-05-26,121
AGGRAVATED ASSAULT,2016-05-27,132
AGGRAVATED ASSAULT,2016-05-28,116
AGGRAVATED ASSAULT,2016-05-29,167
AGGRAVATED ASSAULT,2016-05-30,155
AGGRAVATED ASSAULT,2016-05-31,119
AGGRAVATED ASSAULT,2016-06-01,142
AGGRAVATED ASSAULT,2016-06-02,111
AGGRAVATED ASSAULT,2016-06-03,138
AGGRAVATED ASSAULT,2016-06-04,153
AGGRAVATED ASSAULT,2016-06-05,128
AGGRAVATED ASSAULT,2016-06-06,119
AGGRAVATED ASSAULT,2016-06-07,118
AGGRAVATED ASSAULT,2016-06-08,119
AGGRAVATED ASSAULT,2016-06-09,109
AGGRAVATED ASSAULT,2016-06-10,126
AGGRAVATED ASSAULT,2016-06-11,124
AGGRAVATED ASSAULT,2016-06-12,172
AGGRAVATED ASSAULT,2016-06-13,110
AGGRAVATED ASSAULT,2016-06-14,107
AGGRAVATED ASSAULT,2016-06-15,112
AGGRAVATED ASSAULT,2016-06-16,133
AGGRAVATED ASSAULT,2016-06-17,123
AGGRAVATED ASSAULT,2016-06-18,148
AGGRAVATED ASSAULT,2016-06-19,171
AGGRAVATED ASSAULT,2016-06-20,146
AGGRAVATED ASSAULT,2016-06-21,132
AGGRAVATED ASSAULT,2016-06-22,125
AGGRAVATED ASSAULT,2016-06-23,128
AGGRAVATED ASSAULT,2016-06-24,154
AGGRAVATED ASSAULT,2016-06-25,143
AGGRAVATED ASSAULT,2016-06-26,162
AGGRAVATED ASSAULT,2016-06-27,162
AGGRAVATED ASSAULT,2016-06-28,134
AGGRAVATED ASSAULT,2016-06-29,141
AGGRAVATED ASSAULT,2016-06-30,97
AGGRAVATED ASSAULT,2016-07-01,131
AGGRAVATED ASSAULT,2016-07-02,149
AGGRAVATED ASSAULT,2016-07-03,142
AGGRAVATED ASSAULT,2016-07-04,176
AGGRAVATED ASSAULT,2016-07-05,153
AGGRAVATED ASSAULT,2016-07-06,144
AGGRAVATED ASSAULT,2016-07-07,106
AGGRAVATED ASSAULT,2016-07-08,123
AGGRAVATED ASSAULT,2016-07-09,123
AGGRAVATED ASSAULT,2016-07-10,170
AGGRAVATED ASSAULT,2016-07-11,96
AGGRAVATED ASSAULT,2016-07-12,88
AGGRAVATED ASSAULT,2016-07-13,100
AGGRAVATED ASSAULT,2016-07-14,107
AGGRAVATED ASSAULT,2016-07-15,121
AGGRAVATED ASSAULT,2016-07-16,138
AGGRAVATED ASSAULT,2016-07-17,136
AGGRAVATED ASSAULT,2016-07-18,139
AGGRAVATED ASSAULT,2016-07-19,103
AGGRAVATED ASSAULT,2016-07-20,139
AGGRAVATED ASSAULT,2016-07-21,119
AGGRAVATED ASSAULT,2016-07-22,145
AGGRAVATED ASSAULT,2016-07-23,148
AGGRAVATED ASSAULT,2016-07-24,161
AGGRAVATED ASSAULT,2016-07-25,127
AGGRAVATED ASSAULT,2016-07-26,124
AGGRAVATED ASSAULT,2016-07-27,102
AGGRAVATED ASSAULT,2016-07-28,134
AGGRAVATED ASSAULT,2016-07-29,143
AGGRAVATED ASSAULT,2016-07-30,140
AGGRAVATED ASSAULT,2016-07-31,144
AGGRAVATED ASSAULT,2016-08-01,129
AGGRAVATED ASSAULT,2016-08-02,121
AGGRAVATED ASSAULT,2016-08-03,129
