Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
2006-06-22,121,393,140,31,2,21,2,37,0
2006-06-23,112,270,147,29,3,33,0,26,2
2006-06-24,105,307,113,35,0,38,1,42,0
2006-06-25,95,321,129,30,2,32,3,31,0
2006-06-26,93,306,148,45,2,34,2,49,1
2006-06-27,97,368,165,41,0,31,7,61,4
2006-06-28,94,342,141,34,0,33,4,43,1
2006-06-29,104,432,123,25,1,42,0,39,0
2006-06-30,115,391,111,29,3,39,1,64,1
2006-07-01,111,262,102,28,1,30,5,43,3
2006-07-02,98,291,121,29,1,33,4,36,1
2006-07-03,99,301,130,28,1,27,5,33,2
2006-07-04,109,244,97,27,1,33,5,38,0
2006-07-05,123,341,143,43,1,20,3,46,0
2006-07-06,106,319,137,35,1,27,4,49,3
2006-07-07,103,259,142,33,2,27,1,28,0
2006-07-08,94,303,133,26,1,27,6,49,1
2006-07-09,105,271,131,24,2,34,4,32,2
2006-07-10,105,342,174,41,4,26,4,42,3
2006-07-11,113,355,145,39,0,31,1,40,0
2006-07-12,95,393,154,37,2,27,4,45,2
2006-07-13,113,420,138,30,0,21,3,57,0
2006-07-14,106,306,138,30,0,20,4,37,1
2006-07-15,111,245,105,29,0,30,3,48,6
2006-07-16,111,289,113,29,2,29,3,37,1
2006-07-17,76,309,178,40,1,33,3,34,3
2006-07-18,77,366,142,34,1,36,5,39,1
2006-07-19,111,345,181,35,4,23,2,51,2
2006-07-20,113,409,155,37,5,25,0,39,0
2006-07-21,108,331,146,27,1,30,2,51,2
2006-07-22,116,278,147,33,3,36,1,53,0
2006-07-23,98,279,123,29,0,30,3,41,2
2006-07-24,117,401,181,47,2,35,7,32,1
2006-07-25,95,434,168,44,3,33,6,62,0
2006-07-26,119,437,166,35,2,29,1,47,2
2006-07-27,121,418,159,25,2,22,2,37,2
2006-07-28,110,211,106,44,1,36,3,40,3
