Day,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
02-25,84.54545454545455,221.72727272727272,107.63636363636364,27.90909090909091,1.1818181818181819,19.636363636363637,2.8181818181818183,49.36363636363637,0.8181818181818182
02-26,78.36363636363636,221.54545454545453,95.27272727272727,21.454545454545453,1.5454545454545454,16.09090909090909,2.5454545454545454,58.0,0.9090909090909091
02-27,86.63636363636364,217.54545454545453,99.81818181818181,25.09090909090909,1.4545454545454546,18.545454545454547,2.090909090909091,52.81818181818182,0.45454545454545453
02-28,86.36363636363636,227.0,94.54545454545455,25.363636363636363,1.1818181818181819,17.09090909090909,2.090909090909091,50.18181818181818,0.45454545454545453
02-29,27.272727272727273,58.54545454545455,32.09090909090909,6.363636363636363,0.45454545454545453,5.363636363636363,0.7272727272727273,12.090909090909092,0.2727272727272727
03-01,87.63636363636364,227.9090909090909,97.9090909090909,20.90909090909091,1.2727272727272727,20.181818181818183,3.1818181818181817,52.0,1.0
03-02,88.63636363636364,215.0909090909091,93.81818181818181,22.636363636363637,1.2727272727272727,16.363636363636363,1.9090909090909092,49.45454545454545,0.5454545454545454
03-03,86.45454545454545,204.72727272727272,95.0,20.90909090909091,1.0,18.545454545454547,3.0,51.63636363636363,0.8181818181818182
03-04,93.0909090909091,214.45454545454547,99.0909090909091,24.454545454545453,1.1818181818181819,18.636363636363637,2.0,57.45454545454545,0.6363636363636364
03-05,87.45454545454545,226.27272727272728,94.9090909090909,21.90909090909091,1.3636363636363635,21.181818181818183,2.909090909090909,55.72727272727273,1.1818181818181819
03-06,93.63636363636364,207.27272727272728,93.36363636363636,25.454545454545453,1.3636363636363635,19.09090909090909,3.5454545454545454,51.90909090909091,0.45454545454545453
03-07,92.0,227.27272727272728,101.81818181818181,21.181818181818183,1.6363636363636365,17.454545454545453,3.727272727272727,49.72727272727273,0.36363636363636365
03-08,96.63636363636364,241.36363636363637,95.45454545454545,24.181818181818183,1.1818181818181819,19.272727272727273,2.909090909090909,49.27272727272727,1.0909090909090908
03-09,95.45454545454545,232.72727272727272,103.0,24.818181818181817,1.5454545454545454,18.181818181818183,3.090909090909091,49.0,0.7272727272727273
03-10,99.27272727272727,242.36363636363637,101.0909090909091,27.0,1.6363636363636365,20.454545454545453,3.272727272727273,52.81818181818182,0.45454545454545453
