Occurred Date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
2015-08-26,9,4,0,0,48,15,36,5,0
2015-08-27,7,3,0,1,37,20,55,9,0
2015-08-28,7,3,0,2,69,24,43,15,2
2015-08-29,6,0,0,1,60,15,30,8,0
2015-08-30,11,5,0,1,67,20,28,4,2
2015-08-31,7,0,0,0,54,26,43,10,0
2015-09-01,8,4,0,5,62,24,53,4,0
2015-09-02,3,1,0,1,53,27,32,9,0
2015-09-03,6,2,0,1,73,17,32,9,0
2015-09-04,5,5,0,4,57,33,39,9,1
2015-09-05,5,3,0,1,54,27,47,13,0
2015-09-06,4,3,0,2,49,21,29,12,0
2015-09-07,7,2,0,3,57,13,28,14,0
2015-09-08,4,0,0,3,52,18,43,8,0
2015-09-09,5,5,0,1,38,17,36,11,0
2015-09-10,8,4,0,2,56,13,35,15,0
2015-09-11,9,2,0,3,44,25,45,6,0
2015-09-12,2,1,0,2,64,17,37,10,0
2015-09-13,3,2,0,4,45,14,31,11,1
2015-09-14,9,1,0,5,52,19,43,8,1
2015-09-15,3,9,0,2,50,24,47,14,1
2015-09-16,8,6,0,1,57,19,38,3,0
2015-09-17,3,3,0,1,52,24,35,8,0
2015-09-18,6,7,0,2,45,14,51,8,0
2015-09-19,5,0,0,4,49,21,38,13,0
2015-09-20,5,1,0,2,47,20,34,9,0
2015-09-21,5,2,0,1,49,13,47,13,0
2015-09-22,7,0,0,0,53,22,42,8,0
2015-09-23,4,1,0,1,52,18,51,11,0
2015-09-24,6,4,0,3,62,24,36,7,0
2015-09-25,5,5,0,3,57,19,42,11,0
2015-09-26,5,0,1,3,57,28,45,11,0
2015-09-27,8,0,1,2,52,18,28,7,0
2015-09-28,3,5,0,0,48,20,44,11,1
2015-09-29,6,5,0,5,46,15,38,11,0
2015-09-30,9,5,0,5,48,18,47,18,0
2015-10-01,4,4,0,6,68,28,43,8,0
2015-10-02,6,1,0,2,76,23,36,13,0
2015-10-03,2,3,0,1,51,21,33,8,1
2015-10-04,11,3,0,1,29,14,26,8,1
2015-10-05,5,1,0,1,51,20,31,10,0
2015-10-06,6,4,0,2,48,27,37,8,0
2015-10-07,6,3,0,0,40,20,44,8,1
2015-10-08,8,4,0,0,53,20,39,13,0
2015-10-09,1,0,1,1,51,20,47,12,0
2015-10-10,7,4,0,0,54,31,38,5,0
