date,Offense Count,MISC,ARSON,AGGRAVATED ASSAULT,FRAUD,BURGLARY,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,THEFT,MOTOR VEHICLE THEFT,RAPE
10/16/2017,185,16,0,35,11,14,4,0,60,22,1
10/17/2015,175,21,0,21,14,10,3,0,54,12,5
10/17/2016,176,12,1,19,16,14,3,0,70,13,1
10/17/2017,178,25,0,19,15,11,5,0,54,16,0
10/18/2015,186,24,2,29,16,11,5,1,53,16,1
10/18/2016,141,14,1,12,10,8,2,0,65,16,3
10/18/2017,168,13,0,24,15,9,5,0,62,15,1
10/19/2015,158,12,0,17,20,8,2,0,62,15,1
10/19/2016,156,14,0,20,10,15,3,0,56,13,2
10/19/2017,157,16,0,19,19,13,1,0,58,15,1
10/2/2015,160,19,0,17,13,10,5,1,56,5,1
10/2/2016,134,14,0,20,11,6,5,0,42,13,2
10/2/2017,179,19,0,21,14,15,5,1,56,20,0
10/20/2015,131,15,0,14,14,11,3,0,44,10,2
10/20/2016,129,12,1,12,10,8,1,0,61,11,1
10/20/2017,191,14,0,24,17,10,3,0,67,20,2
10/21/2015,164,18,1,28,14,7,9,0,54,11,0
10/21/2016,172,20,0,17,19,15,4,0,55,14,1
10/21/2017,168,24,2,20,12,8,2,0,58,24,2
10/22/2015,147,17,0,18,10,15,5,0,48,11,1
10/22/2016,175,16,1,19,14,7,6,1,55,20,1
10/22/2017,137,19,0,15,9,11,1,0,52,12,1
10/23/2015,141,20,2,13,14,5,7,0,51,10,3
10/23/2016,182,24,1,22,13,6,6,0,57,20,2
10/23/2017,153,27,1,19,8,7,0,0,57,15,1
10/24/2015,194,22,0,16,18,7,0,0,80,12,1
10/24/2016,205,13,0,20,18,15,2,0,87,16,0
10/24/2017,161,18,0,20,15,6,3,0,54,21,1
10/25/2015,174,24,0,20,13,12,2,0,60,11,3
10/25/2016,183,11,0,12,15,17,3,0,69,16,1
10/25/2017,182,21,0,25,16,7,8,0,61,18,4
10/26/2015,166,17,0,20,12,9,4,0,59,12,2
10/26/2016,165,20,0,16,16,9,6,0,52,17,1
10/26/2017,200,29,1,31,8,12,5,0,65,19,1
10/27/2015,146,6,1,15,13,8,5,0,57,10,1
10/27/2016,181,15,0,25,10,7,6,0,72,14,3
10/27/2017,172,16,0,20,10,17,5,0,56,17,4
10/28/2015,156,21,0,13,11,5,5,0,60,9,0
10/28/2016,172,21,0,12,17,15,3,0,61,14,1
10/28/2017,180,28,1,20,13,8,4,0,67,13,3
10/29/2015,189,22,1,12,7,14,4,0,68,23,2
10/29/2016,189,15,0,24,14,13,4,0,64,20,2
10/29/2017,183,21,1,24,11,13,6,0,56,12,3
10/3/2015,177,22,0,17,12,7,4,1,63,17,1
10/3/2016,167,23,0,21,17,6,5,0,60,5,1
10/3/2017,159,14,0,20,16,8,7,0,57,10,2
10/30/2015,183,14,1,12,15,12,7,0,63,16,0
10/30/2016,137,16,0,19,8,9,1,0,56,13,1
10/30/2017,157,12,1,15,17,12,3,0,54,18,2
10/31/2015,232,27,0,26,15,13,1,0,74,15,1
10/31/2016,199,21,1,24,16,10,3,0,68,20,1
10/31/2017,169,17,0,25,7,9,5,0,65,15,0
10/4/2015,134,14,1,18,8,8,5,0,51,12,2
10/4/2016,161,18,1,18,11,12,4,0,61,14,0
10/4/2017,174,16,2,21,14,8,7,0,56,14,3
10/5/2015,153,14,0,12,16,13,4,1,53,9,2
10/5/2016,174,12,2,14,15,15,6,0,60,20,1
10/5/2017,143,16,0,13,17,10,6,0,51,23,2
10/6/2015,137,15,1,13,13,7,8,0,51,8,0
10/6/2016,158,16,0,15,7,8,3,0,52,16,5
10/6/2017,198,23,0,23,11,13,7,0,60,22,3
10/7/2015,175,22,1,20,11,9,9,0,59,12,0
10/7/2016,154,10,0,20,11,9,10,0,54,17,2
10/7/2017,154,21,1,17,11,8,3,0,54,14,0
10/8/2015,131,17,0,10,15,6,1,0,52,11,1
10/8/2016,174,13,1,18,13,9,5,0,62,15,5
10/8/2017,163,16,2,13,4,13,6,0,57,11,3
10/9/2015,152,18,0,13,6,11,7,0,63,12,3
10/9/2016,154,19,0,22,8,12,2,0,57,11,2
10/9/2017,177,24,0,22,11,10,5,0,63,21,1
11/1/2015,174,18,0,24,17,10,6,0,42,18,2
11/1/2016,187,17,0,24,17,17,3,0,56,15,2
11/1/2017,200,20,0,25,18,7,4,0,59,19,5
11/10/2015,143,17,0,15,9,12,1,0,58,16,0
11/10/2016,284,52,4,20,13,11,2,0,74,25,1
11/10/2017,158,20,1,17,13,14,6,1,51,13,1
11/11/2015,147,17,0,11,12,8,1,1,50,11,1
11/11/2016,158,22,1,21,14,9,1,0,51,11,2
11/11/2017,154,16,1,13,8,13,4,0,53,15,1
11/12/2015,160,15,1,13,11,7,11,1,67,10,0
11/12/2016,160,28,1,18,10,15,2,0,46,15,0
11/12/2017,144,15,0,17,11,15,0,0,47,22,1
11/13/2015,129,7,0,17,14,11,5,0,42,12,0
11/13/2016,140,20,1,11,9,10,1,0,45,18,1
11/13/2017,194,27,2,20,28,18,5,0,54,14,3
11/14/2015,124,14,0,19,9,4,8,0,42,13,0
11/14/2016,138,18,0,12,12,7,3,0,53,16,1
11/14/2017,170,17,0,11,13,16,7,0,59,21,4
11/15/2015,145,13,1,22,6,9,5,0,45,24,0
11/15/2016,186,22,0,19,18,8,3,0,67,13,3
11/15/2017,150,16,1,14,12,12,2,0,53,15,0
11/16/2015,113,10,1,12,12,14,1,0,43,7,1
11/16/2016,152,18,2,17,11,12,0,0,57,15,0
11/16/2017,171,19,0,18,15,18,1,0,54,17,1
11/17/2015,171,18,3,9,11,10,4,0,67,18,0
11/17/2016,164,13,0,17,15,6,7,0,59,21,0
11/17/2017,163,17,0,17,21,11,4,0,50,14,3
11/18/2015,159,9,1,14,17,8,8,0,58,16,0
11/18/2016,178,15,4,27,12,8,4,0,70,15,1
11/18/2017,162,13,0,23,13,11,1,0,55,18,3
11/19/2015,171,19,0,15,13,14,7,0,70,12,0
11/19/2016,185,23,0,15,15,11,7,0,63,15,2
11/19/2017,162,20,0,19,12,15,2,0,47,16,2
11/2/2015,163,19,0,9,16,11,5,0,60,13,1
11/2/2016,151,18,2,17,11,6,4,1,46,22,1
11/2/2017,161,21,1,17,11,6,4,0,51,24,2
11/20/2015,171,17,2,26,16,8,8,0,58,14,1
11/20/2016,147,17,0,21,7,13,6,1,59,13,0
11/20/2017,158,19,1,16,15,17,6,0,45,21,4
11/21/2015,215,17,1,19,35,7,10,0,62,12,5
11/21/2016,153,15,1,17,9,15,2,0,64,15,1
11/21/2017,144,19,0,8,14,18,8,0,39,15,2
11/22/2015,145,14,1,13,24,5,1,0,51,10,0
11/22/2016,183,25,0,13,17,8,6,0,62,17,1
11/22/2017,179,22,1,25,10,13,3,0,58,13,3
11/23/2015,173,27,1,16,22,6,6,0,55,6,1
11/23/2016,164,12,0,13,14,17,1,0,60,27,0
11/23/2017,130,16,1,15,3,18,4,0,31,20,1
11/24/2015,161,18,0,13,10,8,2,0,58,16,1
11/24/2016,139,13,0,14,10,13,3,0,48,15,1
11/24/2017,184,19,0,25,13,15,1,0,60,19,0
11/25/2015,181,18,0,20,11,10,2,0,59,17,1
11/25/2016,164,18,0,14,11,13,1,0,65,17,0
11/25/2017,168,13,1,23,11,13,0,0,56,15,3
11/26/2015,126,14,0,13,13,7,3,0,49,10,1
11/26/2016,144,11,0,22,7,10,5,0,56,16,0
11/26/2017,133,22,0,18,10,10,0,0,41,12,1
11/27/2015,177,24,0,16,14,10,1,0,78,9,1
11/27/2016,171,17,0,25,8,15,4,0,56,18,0
11/27/2017,171,14,0,12,13,12,8,0,64,16,2
11/28/2015,161,12,1,11,23,5,4,0,65,11,1
11/28/2016,160,13,1,17,11,10,4,0,62,15,0
11/28/2017,125,9,0,16,8,8,4,1,48,11,2
11/29/2015,138,16,1,13,10,4,1,0,56,12,1
11/29/2016,175,12,0,14,18,22,3,0,61,20,1
11/29/2017,175,18,0,25,7,10,4,0,69,15,0
11/3/2015,156,18,0,14,13,7,4,0,56,10,1
11/3/2016,171,13,2,9,17,10,7,0,53,14,2
11/3/2017,167,18,0,26,14,9,6,0,55,18,3
11/30/2015,140,16,1,15,16,5,2,0,53,11,2
11/30/2016,174,13,0,16,9,13,8,0,73,19,0
11/30/2017,193,19,1,20,15,13,7,0,75,15,0
11/4/2015,148,13,0,11,5,9,10,0,54,14,1
11/4/2016,174,17,0,16,18,11,12,0,56,13,2
11/4/2017,153,27,0,14,8,12,5,0,45,17,2
11/5/2015,179,16,1,16,17,16,3,0,57,17,3
11/5/2016,183,24,0,24,11,16,3,0,67,11,3
11/5/2017,167,24,1,24,8,11,5,0,50,15,1
11/6/2015,169,23,0,20,10,7,9,0,57,16,0
11/6/2016,141,17,0,17,6,10,6,0,49,17,3
11/6/2017,133,10,2,10,8,12,3,1,46,20,1
