Date,BURGLARY_Austin,BURGLARY_Chicago,BURGLARY_LA,BURGLARY_Cities,THEFT_Austin,THEFT_Chicago,THEFT_LA,THEFT_Cities,AGGRASSAULT_Austin,AGGRASSAULT_Chicago,AGGRASSAULT_LA,AGGRASSAULT_Cities, RAPE_Austin,RAPE_Chicago,RAPE_LA,RAPE_Cities,MURDER_Austin,MURDER_Chicago,MURDER_LA,MURDER_Cities,MISC_Austin,MISC_Chicago,,,DRUG_Austin,DRUG_Chicago,,,FRAUD_Austin,FRAUD_Chicago
4/18/2016,21,53,89,163,78,98,91,267,6,154,130,290,2,5,5,12,0,0,0,0,0,184,,,0,32,,,0,35
4/19/2016,16,41,88,145,95,111,83,289,3,157,129,289,1,2,9,12,0,2,1,3,0,150,,,0,44,,,0,32
4/20/2016,17,52,87,156,83,87,97,267,4,133,136,273,1,4,10,15,0,1,3,4,0,176,,,0,48,,,0,36
4/21/2016,16,45,90,151,95,92,76,263,6,160,108,274,4,6,7,17,0,0,0,0,0,187,,,0,46,,,0,30
4/22/2016,10,56,97,163,77,100,103,280,4,142,128,274,1,3,3,7,0,2,0,2,0,182,,,0,54,,,0,28
4/23/2016,15,44,79,138,70,80,84,234,4,165,146,315,3,9,12,24,0,2,1,3,1,168,,,0,32,,,0,29
4/24/2016,24,45,82,151,73,87,74,234,9,184,145,338,1,8,8,17,0,3,0,3,0,171,,,0,56,,,0,20
4/25/2016,24,54,98,176,92,85,92,269,9,177,122,308,4,10,10,24,0,2,0,2,1,161,,,0,41,,,0,24
4/26/2016,18,60,81,159,88,86,99,273,11,140,120,271,5,5,7,17,0,2,0,2,0,167,,,0,48,,,1,30
4/27/2016,23,67,87,177,82,83,69,234,8,150,123,281,4,5,8,17,0,0,1,1,1,152,,,0,43,,,0,25
4/28/2016,22,59,99,180,81,93,92,266,2,148,93,243,1,8,3,12,0,0,0,0,0,167,,,0,45,,,0,33
4/29/2016,22,54,91,167,75,86,80,241,7,161,112,280,2,7,10,19,0,0,1,1,1,146,,,0,54,,,0,28
4/30/2016,16,45,80,141,48,88,102,238,10,139,147,296,0,5,8,13,0,2,0,2,0,127,,,0,34,,,0,29
5/1/2016,13,59,85,157,53,80,116,249,8,158,168,334,1,13,43,57,0,0,0,0,7,160,,,0,26,,,0,37
5/2/2016,32,59,86,177,78,90,96,264,4,149,133,286,0,4,3,7,0,5,1,6,0,156,,,0,44,,,1,33
5/3/2016,20,62,87,169,94,72,101,267,2,151,122,275,3,9,7,19,0,2,1,3,0,176,,,0,45,,,0,32
5/4/2016,20,54,68,142,71,75,80,226,5,146,113,264,1,7,4,12,0,3,1,4,0,177,,,0,49,,,0,27
5/5/2016,17,53,77,147,76,98,77,251,6,142,146,294,4,6,8,18,0,0,1,1,0,158,,,0,50,,,0,29
5/6/2016,23,57,93,173,78,95,85,258,1,169,110,280,1,8,7,16,0,2,0,2,0,174,,,0,40,,,0,37
5/7/2016,17,57,84,158,62,87,83,232,5,176,124,305,3,10,6,19,0,4,0,4,0,157,,,0,14,,,0,44
5/8/2016,14,49,84,147,78,78,72,228,7,189,146,342,0,6,7,13,1,4,0,5,0,178,,,0,32,,,0,28
5/9/2016,22,60,83,165,90,84,72,246,3,166,106,275,0,5,6,11,0,3,0,3,0,167,,,0,42,,,0,35
5/10/2016,17,57,91,165,85,85,91,261,6,154,95,255,0,3,8,11,0,2,0,2,1,165,,,0,40,,,0,35
5/11/2016,25,59,94,178,70,97,82,249,8,167,113,288,3,6,8,17,0,3,0,3,0,165,,,0,40,,,0,39
5/12/2016,25,55,90,170,88,87,91,266,3,150,109,262,3,2,9,14,0,2,0,2,0,152,,,0,49,,,0,32
5/13/2016,16,57,94,167,93,99,89,281,4,160,128,292,1,6,8,15,0,1,0,1,1,197,,,0,46,,,0,39
5/14/2016,9,53,84,146,50,93,87,230,7,157,135,299,2,5,8,15,1,4,1,6,0,172,,,0,45,,,0,24
5/15/2016,8,55,67,130,51,88,84,223,7,173,164,344,2,6,7,15,0,4,1,5,0,178,,,0,37,,,0,22
5/16/2016,14,65,89,168,110,100,92,302,5,163,108,276,3,9,7,19,0,4,1,5,2,177,,,0,51,,,0,34
5/17/2016,17,59,82,158,79,93,96,268,6,143,115,264,1,7,4,12,0,1,0,1,3,183,,,0,44,,,0,26
5/18/2016,22,70,86,178,105,98,82,285,9,164,126,299,2,3,3,8,0,2,0,2,1,184,,,0,44,,,1,28
5/19/2016,20,59,79,158,52,103,98,253,4,146,125,275,2,5,5,12,0,1,0,1,0,177,,,0,79,,,0,22
