CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
539810329,17,MANHATTAN,10/1/2016,0:01:00,3/5/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,4/2/2018,,UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,994058,215488,40.75814405,-73.96459848,"(40.758144054, -73.964598483)"
306225407,62,BROOKLYN,10/1/2016,9:00:00,11/1/2016,9:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,3/20/2018,,UNKNOWN,UNKNOWN,U,,25-44,ASIAN/PAC.ISL,F,990437,157011,40.59764121,-73.97772252,"(40.597641212, -73.977722522)"
594460529,47,BRONX,10/1/2016,12:00:00,3/5/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,353,MISDEMEANOR,FRONT OF,UNAUTHORIZED USE OF A VEHICLE,,PATROL BORO BRONX,462,UNAUTHORIZED USE VEHICLE 3,RESIDENCE - APT. HOUSE,3/5/2018,,,,,,45-64,BLACK,F,1020865,260336,40.88116867,-73.86759131,"(40.881168666, -73.867591313)"
628550385,120,STATEN ISLAND,10/1/2016,18:00:00,10/1/2017,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO STATEN ISLAND,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,3/1/2018,,45-64,WHITE,M,,<18,WHITE,F,962748,174174,40.64472613,-74.07748316,"(40.644726131, -74.077483159)"
434080297,79,BROOKLYN,10/1/2016,8:00:00,2/28/2018,6:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BKLYN NORTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,2/28/2018,,UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,997244,190273,40.68893088,-73.95314698,"(40.688930879, -73.953146976)"
520976808,44,BRONX,10/3/2016,21:16:00,10/3/2016,21:16:00,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,,PATROL BORO BRONX,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",BANK,2/27/2018,,,,,,UNKNOWN,UNKNOWN,F,1007627,245101,40.83939818,-73.91551674,"(40.839398179, -73.915516741)"
793804511,40,BRONX,10/4/2016,12:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BRONX,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,4/4/2018,,,,,,65+,WHITE HISPANIC,F,1008501,237822,40.81941706,-73.91238441,"(40.819417057, -73.91238441)"
107985447,28,MANHATTAN,10/4/2016,23:30:00,10/4/2016,23:55:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO MAN NORTH,157,RAPE 1,RESIDENCE - APT. HOUSE,1/11/2018,,25-44,ASIAN/PAC.ISL,M,,25-44,WHITE,F,997376,233927,40.8087499,-73.95258581,"(40.808749904, -73.952585806)"
184980801,84,BROOKLYN,10/5/2016,18:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BKLYN NORTH,157,RAPE 1,,5/17/2018,,25-44,WHITE HISPANIC,M,,18-24,ASIAN/PAC.ISL,F,989013,192652,40.69546894,-73.98282508,"(40.695468941, -73.982825079)"
160945093,62,BROOKLYN,10/5/2016,20:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,,PATROL BORO BKLYN SOUTH,105,STRANGULATION 1ST,RESIDENCE-HOUSE,4/26/2018,,25-44,AMER IND,M,,25-44,AMER IND,F,991266,161442,40.60980279,-73.97473275,"(40.609802789, -73.974732754)"
