date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
10/10/2015,26,4,5,0,4,8,0,0,0
10/11/2015,30,6,8,5,1,2,0,0,1
10/12/2015,40,4,7,3,9,5,0,0,0
10/13/2015,23,9,6,1,5,3,0,0,0
10/14/2015,29,6,4,2,4,7,0,0,0
10/15/2015,36,6,10,0,2,11,0,0,0
10/16/2015,31,9,13,6,6,1,0,0,0
10/17/2015,23,7,7,3,2,4,0,1,0
10/18/2015,22,9,2,0,1,5,0,0,1
10/19/2015,44,3,4,8,5,1,0,0,0
10/20/2015,24,7,9,5,4,4,0,0,0
10/21/2015,25,8,8,2,11,7,0,0,0
10/22/2015,26,8,7,7,10,4,0,0,0
10/23/2015,33,4,9,4,11,4,0,0,1
10/24/2015,29,10,9,1,1,6,0,0,0
10/25/2015,39,12,11,6,0,5,0,0,0
10/26/2015,40,9,8,3,7,5,0,0,0
10/27/2015,32,9,7,3,6,6,0,0,0
10/28/2015,47,5,7,0,4,13,0,0,1
10/29/2015,32,8,9,1,8,8,0,0,0
10/30/2015,41,5,8,3,0,9,0,0,0
10/31/2015,34,10,7,2,0,3,0,0,0
11/1/2015,50,8,10,3,0,4,0,0,0
11/2/2015,49,7,13,5,4,4,0,0,0
11/3/2015,42,6,4,0,11,7,0,0,0
11/4/2015,28,5,9,2,3,12,0,0,0
11/5/2015,31,7,10,4,12,7,0,0,0
11/6/2015,52,10,7,3,5,0,0,0,0
11/7/2015,42,9,10,3,1,2,0,0,0
11/8/2015,58,4,5,8,0,0,0,0,0
11/9/2015,40,11,7,4,3,2,0,0,0
11/10/2015,19,6,4,2,4,4,0,0,0
11/11/2015,48,4,3,3,5,0,0,0,0
11/12/2015,39,8,11,1,2,9,0,0,0
11/13/2015,39,3,11,5,0,6,0,0,0
11/14/2015,37,7,6,5,2,5,0,0,0
11/15/2015,30,12,7,4,1,1,0,0,0
11/16/2015,48,9,13,0,2,3,0,0,0
11/17/2015,30,6,12,1,10,3,1,0,0
11/18/2015,27,7,13,4,9,4,0,0,0
11/19/2015,40,6,8,1,6,5,0,0,0
11/20/2015,29,7,10,3,9,1,0,0,0
11/21/2015,35,13,10,6,1,8,0,0,0
11/22/2015,28,6,5,1,1,5,0,0,0
11/23/2015,34,4,16,1,11,6,0,0,0
11/24/2015,37,4,13,8,6,4,0,0,0
11/25/2015,35,6,7,3,0,3,0,0,0
11/26/2015,14,11,6,0,1,6,0,0,0
11/27/2015,37,6,17,2,2,1,1,0,0
11/28/2015,30,9,12,6,1,3,0,0,0
11/29/2015,34,8,11,1,1,2,0,1,0
11/30/2015,40,2,16,4,5,4,0,0,0
12/1/2015,25,10,12,3,2,7,1,0,0
12/2/2015,31,6,14,2,8,3,0,0,0
12/3/2015,40,5,9,1,3,7,0,0,0
12/4/2015,41,7,8,4,10,4,0,0,0
12/5/2015,35,7,3,4,0,3,0,0,0
12/6/2015,28,5,17,5,2,2,0,1,1
12/7/2015,39,7,11,2,4,6,0,0,0
12/8/2015,32,9,10,2,5,9,1,0,0
12/9/2015,31,7,12,1,7,12,0,0,0
12/10/2015,31,8,8,1,7,6,0,0,0
12/11/2015,30,6,6,6,6,9,0,0,0
12/12/2015,33,9,3,2,1,4,0,0,0
12/13/2015,27,5,11,5,3,2,0,0,0
12/14/2015,35,5,13,2,6,9,0,0,0
12/15/2015,27,3,12,4,5,7,0,0,0
12/16/2015,43,11,13,2,4,6,0,0,0
12/17/2015,34,8,11,3,5,5,0,0,0
12/18/2015,33,5,7,3,3,1,0,0,0
12/19/2015,32,8,8,3,1,8,0,0,0
12/20/2015,28,9,9,4,3,2,0,1,1
12/21/2015,33,12,17,3,9,10,1,1,0
12/22/2015,42,8,14,2,5,5,0,0,0
12/23/2015,43,5,5,1,8,9,0,0,0
12/24/2015,26,3,2,4,2,2,0,0,0
12/25/2015,18,9,8,0,1,3,0,0,0
12/26/2015,23,2,11,2,1,3,0,0,0
12/27/2015,21,9,8,7,1,4,0,0,0
12/28/2015,35,9,13,3,8,11,0,0,0
12/29/2015,47,2,12,1,3,7,0,0,0
12/30/2015,45,4,7,6,5,12,0,0,0
12/31/2015,35,8,6,5,3,3,0,1,0
1/1/2016,22,15,7,3,2,4,0,1,0
1/2/2016,36,6,9,4,1,4,0,0,0
1/3/2016,23,4,5,2,1,6,0,0,0
1/4/2016,37,6,7,4,7,4,1,0,0
1/5/2016,30,4,7,0,3,4,0,0,0
1/6/2016,31,9,6,1,4,10,0,0,0
1/7/2016,39,5,4,3,4,16,0,0,0
1/8/2016,33,11,9,3,3,9,0,0,0
1/9/2016,29,11,2,2,0,3,0,0,0
1/10/2016,25,6,6,3,1,1,1,0,0
1/11/2016,27,5,14,3,4,5,0,0,0
1/12/2016,45,4,8,0,1,9,0,0,0
1/13/2016,29,9,6,3,5,9,0,1,1
