date,Count,AGGRIVATED ASSAULT,BURGLARY,RAPE,THEFT,FRAUD,MISC,MOTOR VEHICLE THEFT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ATTEMPT,ARSON,DRUG OFFENSE,OBSCENITY,CONCEALED CARRY LICENSE VIOLATION
3/6/2016,714,151,40,6,81,34,158,24,0,8,0,52,0,0
3/6/2017,682,143,44,8,91,33,120,25,3,2,1,33,0,0
3/6/2018,646,145,32,6,96,39,133,17,1,5,2,40,0,0
3/7/2016,794,161,60,7,83,35,147,22,1,4,0,60,0,0
3/7/2017,680,149,41,2,90,34,145,19,3,3,3,27,1,0
3/7/2018,652,131,48,3,88,33,136,27,1,3,1,47,0,0
3/8/2016,721,160,56,5,90,25,165,8,1,3,3,27,0,0
3/8/2017,665,145,37,3,87,52,138,13,0,2,2,36,0,1
3/8/2018,657,131,40,9,87,36,162,26,2,4,3,36,0,0
3/9/2016,676,181,43,4,76,35,140,8,3,2,0,49,0,0
3/9/2017,674,128,45,7,90,34,145,17,0,3,1,44,1,0
3/9/2018,737,135,46,15,103,39,167,27,0,3,1,39,1,1
3/10/2016,711,140,48,5,89,23,137,24,2,1,2,58,0,0
3/10/2017,664,123,48,9,90,28,142,22,2,1,1,39,0,0
3/10/2018,680,165,55,7,87,35,122,15,2,5,1,39,0,0
3/11/2016,731,149,47,9,96,34,146,19,3,5,2,58,0,0
3/11/2017,654,148,42,5,78,40,140,24,3,1,3,26,1,0
3/11/2018,616,153,37,7,86,27,119,17,2,4,2,36,1,1
3/12/2016,744,184,45,7,88,28,151,21,1,1,2,27,0,1
3/12/2017,550,126,49,4,66,26,122,13,3,1,2,34,0,1
3/12/2018,659,144,55,2,97,27,131,14,0,5,0,34,0,0
3/13/2016,626,157,41,7,81,30,121,15,1,2,2,32,0,0
3/13/2017,539,126,45,9,82,31,99,15,1,0,1,21,1,0
3/13/2018,636,149,36,5,101,32,119,30,1,5,1,34,0,0
3/14/2016,682,140,60,5,90,40,139,18,1,3,3,36,0,0
3/14/2017,470,108,36,2,68,33,90,13,0,2,0,19,0,0
3/14/2018,658,159,42,4,99,35,144,19,0,5,0,44,0,1
3/15/2016,711,151,58,7,88,28,150,12,4,1,1,42,0,0
3/15/2017,602,132,37,6,81,30,117,23,0,6,0,39,1,0
3/15/2018,682,163,50,4,99,33,135,19,0,3,1,34,0,0
3/16/2016,743,174,54,5,86,34,145,17,1,3,4,47,1,0
3/16/2017,665,135,42,5,88,35,144,32,2,5,0,35,0,0
3/16/2018,698,158,43,7,108,40,142,19,2,2,2,47,0,0
3/17/2016,736,154,48,8,96,26,150,27,1,2,0,40,0,0
3/17/2017,708,141,54,4,90,34,149,27,2,2,1,41,0,0
3/17/2018,772,185,38,10,85,42,148,20,3,5,0,45,0,1
3/18/2016,789,163,59,6,93,37,160,24,3,7,2,58,1,0
3/18/2017,674,146,52,6,82,26,150,24,1,4,0,30,1,0
3/18/2018,682,173,42,4,96,33,154,23,2,2,0,34,0,0
