date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
8/30/2015,11,5,0,1,67,20,28,4,2
8/31/2015,7,0,0,0,54,26,43,10,0
9/1/2015,8,4,0,5,62,24,53,4,0
9/2/2015,3,1,0,1,53,27,32,9,0
9/3/2015,6,2,0,1,73,17,32,9,0
9/4/2015,5,5,0,4,57,33,39,9,1
9/5/2015,5,3,0,1,54,27,47,13,0
9/6/2015,4,3,0,2,49,21,29,12,0
9/7/2015,7,2,0,3,57,13,28,14,0
9/8/2015,4,0,0,3,52,18,43,8,0
9/9/2015,5,5,0,1,38,17,36,11,0
9/10/2015,8,4,0,2,56,13,35,15,0
9/11/2015,9,2,0,3,44,25,45,6,0
9/12/2015,2,1,0,2,64,17,37,10,0
9/13/2015,3,2,0,4,45,14,31,11,1
9/14/2015,9,1,0,5,52,19,43,8,1
9/15/2015,3,9,0,2,50,24,47,14,1
9/16/2015,8,6,0,1,57,19,38,3,0
9/17/2015,3,3,0,1,52,24,35,8,0
9/18/2015,6,7,0,2,45,14,51,8,0
9/19/2015,5,0,0,4,49,21,38,13,0
9/20/2015,5,1,0,2,47,20,34,9,0
9/21/2015,5,2,0,1,49,13,47,13,0
9/22/2015,7,0,0,0,53,22,42,8,0
9/23/2015,4,1,0,1,52,18,51,11,0
9/24/2015,6,4,0,3,62,24,36,7,0
9/25/2015,5,5,0,3,57,19,42,11,0
9/26/2015,5,0,1,3,57,28,45,11,0
9/27/2015,8,0,1,2,52,18,28,7,0
9/28/2015,3,5,0,0,48,20,44,11,1
9/29/2015,6,5,0,5,46,15,38,11,0
9/30/2015,9,5,0,5,48,18,47,18,0
10/1/2015,4,4,0,6,68,28,43,8,0
10/2/2015,6,1,0,2,76,23,36,13,0
10/3/2015,2,3,0,1,51,21,33,8,1
10/4/2015,11,3,0,1,29,14,26,8,1
10/5/2015,5,1,0,1,51,20,31,10,0
10/6/2015,6,4,0,2,48,27,37,8,0
10/7/2015,6,3,0,0,40,20,44,8,1
10/8/2015,8,4,0,0,53,20,39,13,0
10/9/2015,1,0,1,1,51,20,47,12,0
10/10/2015,7,4,0,0,54,31,38,5,0
10/11/2015,2,3,1,5,45,11,29,8,0
10/12/2015,5,2,0,5,62,23,36,9,3
10/13/2015,6,5,0,1,46,17,35,4,0
10/14/2015,4,5,0,1,47,23,37,13,0
10/15/2015,9,9,0,1,54,23,39,6,1
10/16/2015,6,2,0,0,70,23,43,11,0
10/17/2015,2,2,0,4,52,12,32,10,0
10/18/2015,3,3,0,1,68,12,37,8,1
10/19/2015,6,2,0,1,69,30,31,6,1
10/20/2015,4,3,0,5,40,28,35,6,1
10/21/2015,4,1,0,8,63,14,38,11,0
10/22/2015,9,1,0,2,56,27,42,16,0
10/23/2015,7,7,0,3,70,21,48,13,0
10/24/2015,4,3,1,3,45,23,43,14,0
10/25/2015,5,1,0,1,59,19,35,14,1
10/26/2015,5,1,0,2,67,15,38,18,0
10/27/2015,5,6,0,2,54,25,34,13,0
10/28/2015,5,3,0,1,56,30,43,9,0
10/29/2015,6,7,0,5,59,20,45,6,0
10/30/2015,4,2,0,1,76,29,31,14,0
10/31/2015,5,2,0,0,75,22,34,14,3
11/1/2015,9,1,0,8,72,21,42,10,0
