Case Date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
2015-11-01,50,8,10,3,0,4,0,0,0
2015-11-02,49,7,13,5,4,4,0,0,0
2015-11-03,42,6,4,0,11,7,0,0,0
2015-11-04,28,5,9,2,3,12,0,0,0
2015-11-05,31,7,10,4,12,7,0,0,0
2015-11-06,52,10,7,3,5,0,0,0,0
2015-11-07,42,9,10,3,1,2,0,0,0
2015-11-08,58,4,5,8,0,0,0,0,0
2015-11-09,40,11,7,4,3,2,0,0,0
2015-11-10,19,6,4,2,4,4,0,0,0
2015-11-11,48,4,3,3,5,0,0,0,0
2015-11-12,39,8,11,1,2,9,0,0,0
2015-11-13,39,3,11,5,0,6,0,0,0
2015-11-14,37,7,6,5,2,5,0,0,0
2015-11-15,30,12,7,4,1,1,0,0,0
2015-11-16,48,9,13,0,2,3,0,0,0
2015-11-17,30,6,12,1,10,3,1,0,0
2015-11-18,27,7,13,4,9,4,0,0,0
2015-11-19,40,6,8,1,6,5,0,0,0
2015-11-20,29,7,10,3,9,1,0,0,0
2015-11-21,35,13,10,6,1,8,0,0,0
2015-11-22,28,6,5,1,1,5,0,0,0
2015-11-23,34,4,16,1,11,6,0,0,0
2015-11-24,37,4,13,8,6,4,0,0,0
2015-11-25,35,6,7,3,0,3,0,0,0
2015-11-26,14,11,6,0,1,6,0,0,0
2015-11-27,37,6,17,2,2,1,1,0,0
2015-11-28,30,9,12,6,1,3,0,0,0
2015-11-29,34,8,11,1,1,2,0,1,0
2015-11-30,40,2,16,4,5,4,0,0,0
2015-12-01,25,10,12,3,2,7,1,0,0
2015-12-02,31,6,14,2,8,3,0,0,0
2015-12-03,40,5,9,1,3,7,0,0,0
2015-12-04,41,7,8,4,10,4,0,0,0
2015-12-05,35,7,3,4,0,3,0,0,0
2015-12-06,28,5,17,5,2,2,0,1,1
2015-12-07,39,7,11,2,4,6,0,0,0
2015-12-08,32,9,10,2,5,9,1,0,0
2015-12-09,31,7,12,1,7,12,0,0,0
2015-12-10,31,8,8,1,7,6,0,0,0
2015-12-11,30,6,6,6,6,9,0,0,0
2015-12-12,33,9,3,2,1,4,0,0,0
2015-12-13,27,5,11,5,3,2,0,0,0
2015-12-14,35,5,13,2,6,9,0,0,0
2015-12-15,27,3,12,4,5,7,0,0,0
2015-12-16,43,11,13,2,4,6,0,0,0
2015-12-17,34,8,11,3,5,5,0,0,0
2015-12-18,33,5,7,3,3,1,0,0,0
2015-12-19,32,8,8,3,1,8,0,0,0
2015-12-20,28,9,9,4,3,2,0,1,1
2015-12-21,33,12,17,3,9,10,1,1,0
2015-12-22,42,8,14,2,5,5,0,0,0
2015-12-23,43,5,5,1,8,9,0,0,0
2015-12-24,26,3,2,4,2,2,0,0,0
2015-12-25,18,9,8,0,1,3,0,0,0
2015-12-26,23,2,11,2,1,3,0,0,0
2015-12-27,21,9,8,7,1,4,0,0,0
2015-12-28,35,9,13,3,8,11,0,0,0
2015-12-29,47,2,12,1,3,7,0,0,0
2015-12-30,45,4,7,6,5,12,0,0,0
2015-12-31,35,8,6,5,3,3,0,1,0
2016-01-01,22,15,7,3,2,4,0,1,0
2016-01-02,36,6,9,4,1,4,0,0,0
2016-01-03,23,4,5,2,1,6,0,0,0
2016-01-04,37,6,7,4,7,4,1,0,0
2016-01-05,30,4,7,0,3,4,0,0,0
2016-01-06,31,9,6,1,4,10,0,0,0
2016-01-07,39,5,4,3,4,16,0,0,0
2016-01-08,33,11,9,3,3,9,0,0,0
2016-01-09,29,11,2,2,0,3,0,0,0
2016-01-10,25,6,6,3,1,1,1,0,0
2016-01-11,27,5,14,3,4,5,0,0,0
2016-01-12,45,4,8,0,1,9,0,0,0
2016-01-13,29,9,6,3,5,9,0,1,1
2016-01-14,30,6,10,4,4,17,0,0,0
2016-01-15,30,7,12,2,7,11,0,0,0
2016-01-16,35,14,12,2,1,5,0,0,0
2016-01-17,34,6,6,1,3,3,0,0,0
2016-01-18,33,12,12,3,0,5,0,0,0
2016-01-19,37,8,7,3,8,9,0,0,0
2016-01-20,22,7,7,0,2,17,0,0,0
2016-01-21,38,6,8,2,6,7,0,0,0
2016-01-22,35,9,11,3,6,5,0,0,0
2016-01-23,24,8,7,4,4,3,0,0,0
2016-01-24,25,7,8,0,1,1,0,0,0
2016-01-25,42,6,13,1,7,6,0,0,0
2016-01-26,36,5,17,5,5,11,0,0,0
2016-01-27,31,7,13,1,6,8,0,0,0
2016-01-28,25,3,7,2,6,8,0,0,0
2016-01-29,38,3,14,3,6,6,0,0,0
2016-01-30,32,6,4,1,2,16,0,0,0
2016-01-31,24,7,7,1,0,14,0,0,0
2016-02-01,34,8,9,4,5,4,0,0,0
2016-02-02,31,8,7,2,9,7,0,0,0
2016-02-03,22,5,8,1,9,13,0,0,0
2016-02-04,37,7,7,7,9,11,0,0,0
2016-02-05,36,3,9,1,10,6,0,0,0
2016-02-06,24,11,9,2,1,6,0,0,1
2016-02-07,25,6,5,1,2,2,0,1,0
2016-02-08,19,7,8,1,6,6,0,0,0
2016-02-09,23,4,7,0,3,9,0,0,0
2016-02-10,29,4,4,1,4,9,0,0,0
2016-02-11,34,6,6,7,3,10,0,0,0
2016-02-12,25,6,8,1,4,4,0,0,0
2016-02-13,24,7,7,2,0,8,0,0,0
2016-02-14,27,5,7,1,2,2,0,0,0
2016-02-15,29,2,4,3,2,3,0,0,0
2016-02-16,29,7,11,3,2,4,0,0,0
2016-02-17,28,5,11,2,5,3,0,0,0
2016-02-18,23,5,3,2,13,17,0,0,0
2016-02-19,23,6,7,2,10,8,0,0,0
2016-02-20,20,9,3,2,2,6,0,0,0
2016-02-21,29,11,1,5,3,3,0,0,0
2016-02-22,40,7,4,4,13,5,0,0,0
2016-02-23,33,5,3,2,9,8,0,0,0
2016-02-24,39,6,6,3,6,6,0,0,0
2016-02-25,29,5,6,1,5,4,0,0,1
2016-02-26,32,5,6,3,11,7,0,0,0
2016-02-27,21,3,1,2,0,3,0,0,0
2016-02-28,33,12,8,1,3,8,0,0,0
2016-02-29,30,5,9,2,2,9,1,0,0
2016-03-01,33,4,6,2,2,6,0,0,0
2016-03-02,36,7,8,4,4,11,0,0,0
2016-03-03,23,7,4,5,9,15,0,1,0
2016-03-04,19,5,10,3,8,11,0,0,0
2016-03-05,22,6,4,5,1,6,0,0,0
2016-03-06,30,7,7,1,2,3,0,0,0
2016-03-07,38,10,2,0,7,2,1,1,0
2016-03-08,27,4,4,2,9,12,0,0,0
2016-03-09,35,9,8,3,8,7,0,0,0
2016-03-10,27,9,5,2,8,7,0,0,0
2016-03-11,32,11,9,3,5,11,0,0,0
2016-03-12,35,10,4,5,0,10,0,0,0
2016-03-13,22,4,3,2,0,6,0,0,0
2016-03-14,33,14,9,6,8,7,0,0,0
2016-03-15,19,1,7,3,7,6,0,0,0
2016-03-16,25,9,2,5,9,10,0,0,0
2016-03-17,27,2,9,3,12,11,0,0,0
2016-03-18,32,13,7,0,5,7,0,0,0
2016-03-19,21,3,8,2,1,3,0,1,0
