County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Suffolk,Ocean Beach Vg PD,2016,12,19,0,0,0,0,0,19,0,17,2,Non-New York City
Suffolk,Quogue Vg PD,2016,12,20,0,0,0,0,0,20,6,12,2,Non-New York City
Suffolk,Riverhead Town PD,2016,2,160,11,0,0,6,5,149,16,131,2,Non-New York City
Suffolk,Sag Harbor Vg PD,2016,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Suffolk,Shelter Island Town PD,2016,12,28,1,0,0,0,1,27,3,24,0,Non-New York City
Suffolk,Southampton Town PD,2016,12,757,57,0,14,9,34,700,138,514,48,Non-New York City
Suffolk,Southampton Vg PD,2016,12,98,2,0,0,0,2,96,12,81,3,Non-New York City
Suffolk,Southold Town PD,2016,12,261,17,0,2,4,11,244,48,191,5,Non-New York City
Suffolk,Suffolk County MTA,2016,12,66,11,0,0,7,4,55,4,49,2,Non-New York City
Suffolk,Suffolk County Park PD,2016,12,62,7,0,1,1,5,55,0,54,1,Non-New York City
Suffolk,Suffolk County PD,2016,12,19831,1577,33,109,541,894,18254,1743,15432,1079,Non-New York City
Suffolk,Suffolk County Sheriff,2016,12,63,63,0,0,0,63,0,0,0,0,Non-New York City
Suffolk,Suffolk County State Police,2016,12,74,30,0,16,3,11,44,10,30,4,Non-New York City
Suffolk,SUNY Police - Farmingdale,2016,12,44,1,0,1,0,0,43,1,41,1,Non-New York City
Suffolk,SUNY Police - Stony Brook,2016,12,264,14,0,3,1,10,250,17,232,1,Non-New York City
Suffolk,Westhampton Beach Vg PD,2016,12,46,5,0,2,2,1,41,3,38,0,Non-New York City
Sullivan,County Total,2016,,1229,198,4,68,23,103,1031,265,731,35,Non-New York City
Sullivan,Fallsburg Town PD,2016,12,117,15,0,1,2,12,102,37,62,3,Non-New York City
Sullivan,Liberty Vg PD,2016,12,177,22,0,6,5,11,155,26,123,6,Non-New York City
Sullivan,Monticello Vg PD,2016,12,215,30,2,4,9,15,185,53,125,7,Non-New York City
