Date,MOTOR VEHICLE THEFT,LARCENY-THEFT,RAPE,DRUG OFFENSE,BURGLARY,AGGRAVATED ASSAULT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ROBBERY,ARSON
03/15/2016,12,78,3,4,19,8,0,0,0
03/15/2017,13,84,0,6,22,10,1,2,0
03/15/2018,7,64,0,6,18,9,1,3,0
03/16/2016,17,69,0,9,27,7,0,1,0
03/16/2017,15,69,2,5,34,5,0,6,0
03/16/2018,15,52,2,5,14,9,0,4,0
03/17/2016,14,79,1,4,25,8,0,4,0
03/17/2017,16,62,4,5,16,8,1,1,0
03/17/2018,17,61,0,5,20,7,0,6,1
03/18/2016,9,51,2,4,24,5,0,3,0
03/18/2017,6,58,3,5,20,2,0,5,0
03/18/2018,12,59,0,1,9,1,0,3,1
03/19/2016,17,53,2,3,12,3,0,4,0
03/19/2017,10,49,2,3,16,5,1,3,0
03/19/2018,12,56,1,7,21,7,0,1,0
03/20/2016,11,48,1,5,11,9,0,2,0
03/20/2017,17,56,2,6,26,4,1,4,0
03/20/2018,20,53,3,6,23,5,1,6,0
03/21/2016,19,40,1,4,28,12,1,3,0
03/21/2017,13,63,1,2,28,8,0,3,0
03/21/2018,19,69,2,7,23,7,0,2,0
03/22/2016,18,64,0,5,41,2,0,2,0
03/22/2017,16,72,1,8,26,7,0,4,0
03/22/2018,15,46,3,11,20,6,0,4,0
03/23/2016,20,80,1,5,23,6,0,3,0
03/23/2017,10,69,3,6,29,7,0,4,0
03/23/2018,16,46,2,11,21,10,0,1,2
03/24/2016,17,78,0,6,31,5,0,3,0
03/24/2017,19,63,2,7,24,3,0,3,1
03/24/2018,18,56,1,5,21,4,1,6,2
03/25/2016,13,78,1,0,25,6,0,6,1
03/25/2017,14,54,0,5,22,4,1,1,1
03/25/2018,13,74,3,3,15,6,0,2,0
03/26/2016,19,61,2,3,17,4,1,6,1
03/26/2017,10,51,4,4,22,9,0,4,0
03/26/2018,17,78,3,7,28,3,0,4,1
03/27/2016,18,43,4,3,19,6,1,3,0
03/27/2017,13,62,4,6,32,6,0,1,1
03/27/2018,13,63,3,12,23,11,0,3,0
03/28/2016,27,58,1,5,28,3,0,3,0
03/28/2017,13,72,2,4,35,8,0,3,0
03/28/2018,16,60,0,2,26,9,0,2,1
03/29/2016,17,67,2,10,27,5,0,5,0
03/29/2017,15,73,1,3,40,3,1,5,0
03/29/2018,16,75,2,5,20,11,0,3,0
03/30/2016,17,65,0,9,24,5,0,1,0
