CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
120052420,77,BROOKLYN,11/11/2016,0:01:00,11/13/2016,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,175,"SEXUAL ABUSE 3,2",OTHER,3/7/2018,,,,,,25-44,UNKNOWN,F,1003606,185050,40.67458331,-73.93022154,"(40.674583308, -73.930221541)"
872986408,33,MANHATTAN,1/1/2016,0:01:00,12/31/2017,23:59:00,ATTEMPTED,,45388,2,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO MAN NORTH,170,"SEXUAL MISCONDUCT,INTERCOURSE",RESIDENCE - PUBLIC HOUSING,3/5/2018,,UNKNOWN,UNKNOWN,M,,<18,WHITE HISPANIC,F,1001936,245282,40.8399082,-73.93608359,"(40.839908201, -73.936083587)"
911003056,20,MANHATTAN,1/1/2016,12:00:00,2/16/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,407,"LARCENY,GRAND BY DISHONEST EMP",OTHER,2/28/2018,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,989731,222727,40.77801698,-73.98021132,"(40.778016975, -73.980211324)"
639271237,48,BRONX,11/24/2016,0:01:00,12/29/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BRONX,155,RAPE 2,HOTEL/MOTEL,2/22/2018,,18-24,UNKNOWN,M,,<18,BLACK,F,1011779,246746,40.84390126,-73.90050463,"(40.843901255, -73.900504632)"
178447094,34,MANHATTAN,1/1/2016,8:00:00,3/18/2017,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE - APT. HOUSE,2/21/2018,,,,,,45-64,WHITE,M,1001606,251324,40.85649236,-73.93726058,"(40.856492363, -73.93726058)"
676532146,7,MANHATTAN,2/14/2016,10:00:00,2/15/2016,12:00:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,101,ASSAULT 3,TRANSIT - NYC SUBWAY,2/16/2018,EAST BROADWAY,UNKNOWN,WHITE,M,4,25-44,BLACK,F,987206,199455,40.71414237,-73.98933851,"(40.714142367, -73.989338511)"
713483285,32,MANHATTAN,1/1/2016,0:00:00,2/15/2018,19:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,2/16/2018,,,,,,25-44,WHITE HISPANIC,M,1001374,238163,40.8203697,-73.93813285,"(40.820369696, -73.938132846)"
908438691,24,MANHATTAN,1/1/2016,10:00:00,2/11/2018,16:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO MAN NORTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2/11/2018,,65+,BLACK,F,,65+,BLACK,F,993373,229301,40.79605784,-73.96705231,"(40.79605784, -73.967052307)"
160878475,9,MANHATTAN,4/22/2016,0:00:00,4/22/2016,2:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO MAN SOUTH,157,RAPE 1,RESIDENCE - APT. HOUSE,2/6/2018,,25-44,AMER IND,M,,25-44,ASIAN/PAC.ISL,F,987624,203977,40.72655402,-73.98782843,"(40.726554019, -73.987828427)"
467250358,70,BROOKLYN,1/1/2016,12:00:00,2/4/2018,11:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE - APT. HOUSE,2/4/2018,,,,,,45-64,BLACK,F,995957,177431,40.65368426,-73.95781001,"(40.653684258, -73.957810011)"
569624057,72,BROOKLYN,1/1/2016,6:00:00,12/31/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE-HOUSE,2/2/2018,,,,,,25-44,ASIAN/PAC.ISL,M,982430,172482,40.64010787,-74.0065593,"(40.64010787, -74.006559295)"
813205810,44,BRONX,1/1/2016,0:00:00,12/31/2016,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,2/2/2018,,,,,,<18,UNKNOWN,F,1006434,244344,40.83732351,-73.91983076,"(40.837323511, -73.919830757)"
807539955,18,MANHATTAN,1/1/2016,12:00:00,1/24/2018,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN SOUTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,1/24/2018,,25-44,WHITE,M,,25-44,WHITE,F,988085,217902,40.76477447,-73.98615725,"(40.764774473, -73.986157253)"
682682541,48,BRONX,1/1/2016,0:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BRONX,157,RAPE 1,RESIDENCE - APT. HOUSE,1/23/2018,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1011779,246746,40.84390126,-73.90050463,"(40.843901255, -73.900504632)"
593729757,28,MANHATTAN,1/18/2016,7:44:00,1/18/2018,7:47:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO MAN NORTH,333,"LARCENY,PETIT FROM STORE-SHOPL",DRUG STORE,1/18/2018,,,,,,UNKNOWN,UNKNOWN,D,998151,234236,40.80959684,-73.9497856,"(40.809596838, -73.949785598)"
232237240,52,BRONX,9/5/2016,20:00:00,9/5/2016,21:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,101,ASSAULT 3,RESIDENCE-HOUSE,1/9/2018,,45-64,BLACK HISPANIC,M,,25-44,WHITE HISPANIC,F,1018857,258804,40.87697191,-73.87486071,"(40.876971907, -73.87486071)"
151353262,107,QUEENS,12/25/2016,19:30:00,12/25/2016,20:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO QUEENS SOUTH,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,1/8/2018,,,,,,25-44,BLACK,F,1034573,198887,40.71244073,-73.81847992,"(40.712440728, -73.818479923)"
