Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
12/2/2006,95,269,149,25,1,34,8,69,2
12/3/2006,86,343,135,25,1,33,5,65,1
12/4/2006,97,219,160,37,0,28,6,50,0
12/5/2006,79,237,129,42,2,39,2,67,2
12/6/2006,110,270,137,31,2,31,2,62,1
12/7/2006,107,256,117,41,1,41,1,72,0
12/8/2006,76,209,114,31,1,40,2,44,2
12/9/2006,77,216,132,18,5,31,1,62,1
12/10/2006,79,249,122,31,1,33,4,54,3
12/11/2006,113,263,134,53,1,39,3,52,0
12/12/2006,118,320,146,39,1,26,6,82,0
12/13/2006,105,289,166,34,3,22,5,68,1
12/14/2006,105,313,115,24,0,30,2,57,2
12/15/2006,117,253,156,26,1,31,2,76,0
12/16/2006,98,317,114,27,4,33,0,65,0
12/17/2006,94,260,109,31,0,31,3,43,2
12/18/2006,126,281,158,44,1,36,5,37,1
12/19/2006,109,271,134,30,3,21,4,62,0
12/20/2006,109,283,148,33,4,38,3,57,0
12/21/2006,93,256,147,17,1,23,2,45,0
12/22/2006,73,191,149,31,3,39,0,38,0
12/23/2006,70,219,130,23,1,29,2,33,2
12/24/2006,65,208,105,38,1,23,0,34,4
12/25/2006,45,92,52,26,2,18,2,9,1
12/26/2006,70,263,152,50,3,33,1,49,1
12/27/2006,108,317,130,34,2,31,5,45,0
12/28/2006,77,342,152,27,2,28,0,67,1
12/29/2006,95,312,107,37,0,28,3,63,1
12/30/2006,99,244,115,24,2,32,2,49,0
12/31/2006,88,217,116,18,2,26,1,34,1
1/1/2007,112,198,96,31,2,38,3,32,0
1/2/2007,82,300,161,40,1,32,3,56,0
1/3/2007,94,285,109,24,3,29,3,59,3
1/4/2007,99,285,133,36,0,32,2,56,2
1/5/2007,109,255,117,40,0,44,3,42,2
1/6/2007,121,262,143,29,2,45,1,34,0
1/7/2007,97,243,112,21,2,30,2,40,2
1/8/2007,72,213,148,50,0,33,1,54,3
1/9/2007,112,268,137,36,2,30,1,64,1
1/10/2007,90,301,144,33,1,29,1,54,2
1/11/2007,90,296,127,40,2,33,2,64,2
1/12/2007,125,256,123,31,0,36,1,57,0
1/13/2007,78,248,126,26,4,42,3,46,4
1/14/2007,103,248,131,32,1,30,3,44,3
1/15/2007,84,274,131,39,1,21,4,70,0
1/16/2007,87,286,154,36,0,35,5,62,0
1/17/2007,84,272,105,25,0,23,5,62,0
1/18/2007,92,214,102,20,1,21,1,63,0
1/19/2007,106,227,144,34,4,37,4,51,0
1/20/2007,87,228,125,33,1,28,3,48,0
1/21/2007,62,255,78,29,0,30,2,49,0
1/22/2007,100,206,127,31,2,30,4,45,1
1/23/2007,107,253,142,42,2,36,4,50,0
1/24/2007,92,316,119,34,2,35,1,58,0
1/25/2007,88,238,120,29,0,29,1,55,1
1/26/2007,95,202,118,32,1,19,2,56,0
1/27/2007,67,218,93,29,3,34,2,50,1
1/28/2007,79,244,115,25,3,31,0,51,0
1/29/2007,72,231,118,38,3,18,4,42,1
1/30/2007,78,266,115,32,1,35,0,46,1
1/31/2007,80,223,122,31,2,36,1,48,1
2/1/2007,98,277,114,27,3,18,1,55,0
2/2/2007,66,236,105,17,2,31,4,59,2
2/3/2007,84,248,94,17,0,21,2,45,0
2/4/2007,70,269,101,28,0,25,2,38,0
2/5/2007,84,203,108,36,0,31,4,36,0
2/6/2007,82,215,120,28,3,16,4,75,0
2/7/2007,93,213,109,27,4,15,2,46,0
2/8/2007,91,239,111,32,0,21,5,61,2
2/9/2007,100,213,111,29,3,23,0,67,3
2/10/2007,87,242,108,27,0,37,1,56,1
2/11/2007,82,230,84,19,2,18,5,43,1
2/12/2007,91,231,123,28,1,20,4,44,1
2/13/2007,81,171,102,32,2,27,1,44,2
2/14/2007,57,134,68,12,0,16,2,27,1
2/15/2007,65,161,76,9,0,18,0,47,2
2/16/2007,82,172,95,24,1,18,1,43,0
2/17/2007,79,184,80,20,0,30,2,46,3
2/18/2007,96,198,86,17,1,31,5,44,2
2/19/2007,80,232,87,22,0,25,4,69,0
2/20/2007,82,227,103,27,1,25,4,40,0
2/21/2007,105,280,118,32,3,27,5,64,0
2/22/2007,110,237,118,22,1,19,1,61,1
2/23/2007,97,220,110,18,1,30,1,45,1
2/24/2007,79,218,96,24,3,15,3,45,2
2/25/2007,91,247,132,22,2,21,2,41,1
2/26/2007,81,227,113,24,2,12,4,51,2
